Date,Matchday
2005-02-13T16:30:00Z,21
2005-02-13T16:30:00Z,21
2005-02-19T14:30:00Z,22
2005-02-19T14:30:00Z,22
2005-02-19T14:30:00Z,22
2005-02-19T14:30:00Z,22
2005-02-19T14:30:00Z,22
2005-02-19T14:30:00Z,22
2005-02-19T14:30:00Z,22
2005-02-20T16:30:00Z,22
2005-02-20T16:30:00Z,22
2005-02-26T14:30:00Z,23
2005-02-26T14:30:00Z,23
2005-02-26T14:30:00Z,23
2005-02-26T14:30:00Z,23
2005-02-26T14:30:00Z,23
2005-02-26T14:30:00Z,23
2005-02-26T14:30:00Z,23
2005-02-27T16:30:00Z,23
2005-02-27T16:30:00Z,23
2005-03-05T14:30:00Z,24
2005-03-05T14:30:00Z,24
2005-03-05T14:30:00Z,24
2005-03-05T14:30:00Z,24
2005-03-05T14:30:00Z,24
2005-03-05T14:30:00Z,24
2005-03-05T14:30:00Z,24
2005-03-06T16:30:00Z,24
2005-03-06T16:30:00Z,24
2005-03-12T14:30:00Z,25
2005-03-12T14:30:00Z,25
2005-03-12T14:30:00Z,25
2005-03-12T14:30:00Z,25
2005-03-12T14:30:00Z,25
2005-03-12T14:30:00Z,25
2005-03-12T14:30:00Z,25
2005-03-13T16:30:00Z,25
2005-03-13T16:30:00Z,25
2005-03-19T14:30:00Z,26
2005-03-19T14:30:00Z,26
2005-03-19T14:30:00Z,26
2005-03-19T14:30:00Z,26
2005-03-19T14:30:00Z,26
2005-03-19T14:30:00Z,26
2005-03-19T14:30:00Z,26
2005-03-20T16:30:00Z,26
2005-03-20T16:30:00Z,26
2005-04-02T13:30:00Z,27
2005-04-02T13:30:00Z,27
2005-04-02T13:30:00Z,27
2005-04-02T13:30:00Z,27
2005-04-02T13:30:00Z,27
2005-04-02T13:30:00Z,27
2005-04-02T13:30:00Z,27
2005-04-03T15:30:00Z,27
2005-04-03T15:30:00Z,27
2005-04-09T13:30:00Z,28
2005-04-09T13:30:00Z,28
2005-04-09T13:30:00Z,28
2005-04-09T13:30:00Z,28
2005-04-09T13:30:00Z,28
2005-04-09T13:30:00Z,28
2005-04-09T13:30:00Z,28
2005-04-10T15:30:00Z,28
2005-04-10T15:30:00Z,28
2005-04-16T13:30:00Z,29
2005-04-16T13:30:00Z,29
2005-04-16T13:30:00Z,29
2005-04-16T13:30:00Z,29
2005-04-16T13:30:00Z,29
2005-04-16T13:30:00Z,29
2005-04-16T13:30:00Z,29
2005-04-17T15:30:00Z,29
2005-04-17T15:30:00Z,29
2005-04-23T13:30:00Z,30
2005-04-23T13:30:00Z,30
2005-04-23T13:30:00Z,30
2005-04-23T13:30:00Z,30
2005-04-23T13:30:00Z,30
2005-04-23T13:30:00Z,30
2005-04-23T13:30:00Z,30
2005-04-24T15:30:00Z,30
2005-04-24T15:30:00Z,30
2005-04-30T13:30:00Z,31
2005-04-30T13:30:00Z,31
2005-04-30T13:30:00Z,31
2005-04-30T13:30:00Z,31
2005-04-30T13:30:00Z,31
2005-04-30T13:30:00Z,31
2005-04-30T13:30:00Z,31
2005-05-01T15:30:00Z,31
2005-05-01T15:30:00Z,31
2005-05-07T13:30:00Z,32
2005-05-07T13:30:00Z,32
2005-05-07T13:30:00Z,32
2005-05-07T13:30:00Z,32
2005-05-07T13:30:00Z,32
2005-05-07T13:30:00Z,32
2005-05-07T13:30:00Z,32
2005-05-08T15:30:00Z,32
2005-05-08T15:30:00Z,32
2005-05-14T13:30:00Z,33
2005-05-14T13:30:00Z,33
2005-05-14T13:30:00Z,33
2005-05-14T13:30:00Z,33
2005-05-14T13:30:00Z,33
2005-05-14T13:30:00Z,33
2005-05-14T13:30:00Z,33
2005-05-14T13:30:00Z,33
2005-05-14T13:30:00Z,33
2005-05-21T13:30:00Z,34
2005-05-21T13:30:00Z,34
2005-05-21T13:30:00Z,34
2005-05-21T13:30:00Z,34
2005-05-21T13:30:00Z,34
2005-05-21T13:30:00Z,34
2005-05-21T13:30:00Z,34
2005-05-21T13:30:00Z,34
2005-05-21T13:30:00Z,34
2005-08-05T18:30:00Z,1
2005-08-06T13:30:00Z,1
2005-08-06T13:30:00Z,1
2005-08-06T13:30:00Z,1
2005-08-06T13:30:00Z,1
2005-08-06T13:30:00Z,1
2005-08-06T13:30:00Z,1
2005-08-07T15:30:00Z,1
2005-08-07T15:30:00Z,1
2005-08-13T13:30:00Z,2
2005-08-13T13:30:00Z,2
2005-08-13T13:30:00Z,2
2005-08-13T13:30:00Z,2
2005-08-13T13:30:00Z,2
2005-08-13T13:30:00Z,2
2005-08-13T13:30:00Z,2
2005-08-14T15:30:00Z,2
2005-08-14T15:30:00Z,2
2005-08-27T13:30:00Z,3
2005-08-27T13:30:00Z,3
2005-08-27T13:30:00Z,3
2005-08-27T13:30:00Z,3
2005-08-27T13:30:00Z,3
2005-08-27T13:30:00Z,3
2005-08-27T13:30:00Z,3
2005-08-28T15:30:00Z,3
2005-08-28T15:30:00Z,3
2005-09-10T13:30:00Z,4
2005-09-10T13:30:00Z,4
2005-09-10T13:30:00Z,4
2005-09-10T13:30:00Z,4
2005-09-10T13:30:00Z,4
2005-09-10T13:30:00Z,4
